Category,Item,Serving Size,Calories,CaloriesFromFat,Fat,Total Fat (% Daily Value),Saturated Fat,Saturated Fat (% Daily Value),Trans Fat,Cholesterol,Cholesterol (% Daily Value),Sodium,Sodium (% Daily Value),Carbohydrates,Carbohydrates (% Daily Value),Dietary Fiber,Dietary Fiber (% Daily Value),Sugars,Protein,Vitamin A (% Daily Value),Vitamin C (% Daily Value),Calcium (% Daily Value),Iron (% Daily Value)
Breakfast,Egg McMuffin,4.8 oz (136 g),300,120,13,20,5,25,0,260,87,750,31,31,10,4,17,3,17,10,0,25,15
Breakfast,Egg White Delight,4.8 oz (135 g),200,70,8,12,3,15,0,25,8,770,32,30,10,4,17,3,18,6,0,25,8
Breakfast,Sausage McMuffin,3.9 oz (111 g),400,200,23,35,8,42,0,45,15,780,33,29,10,4,17,2,14,8,0,25,10
Breakfast,Sausage McMuffin with Egg,5.7 oz (161 g),500,250,28,43,10,52,0,285,95,860,36,30,10,4,17,2,21,15,0,30,15
Breakfast,Sausage McMuffin with Egg Whites,5.7 oz (161 g),400,210,23,35,8,42,0,50,16,880,37,30,10,4,17,2,21,6,0,25,10
Breakfast,Steak & Egg McMuffin,6.5 oz (185 g),400,210,23,36,9,46,1,300,100,960,40,31,10,4,18,3,26,15,2,30,20
Breakfast,"Bacon, Egg & Cheese Biscuit (Regular Biscuit)",5.3 oz (150 g),400,230,26,40,13,65,0,250,83,1300,54,38,13,2,7,3,19,10,8,15,15
Breakfast,"Bacon, Egg & Cheese Biscuit (Large Biscuit)",5.8 oz (164 g),500,270,30,47,14,68,0,250,83,1410,59,43,14,3,12,4,19,15,8,20,20
Breakfast,"Bacon, Egg & Cheese Biscuit with Egg Whites (Regular Biscuit)",5.4 oz (153 g),400,180,20,32,11,56,0,35,11,1300,54,36,12,2,7,3,20,2,8,15,10
Breakfast,"Bacon, Egg & Cheese Biscuit with Egg Whites (Large Biscuit)",5.9 oz (167 g),500,220,25,38,12,59,0,35,11,1420,59,42,14,3,12,4,20,6,8,15,15
Breakfast,Sausage Biscuit (Regular Biscuit),4.1 oz (117 g),400,240,27,42,12,62,0,30,10,1080,45,34,11,2,6,2,11,0,0,6,15
Breakfast,Sausage Biscuit (Large Biscuit),4.6 oz (131 g),500,280,31,48,13,65,0,30,10,1190,50,39,13,3,11,3,11,4,0,8,15
Breakfast,Sausage Biscuit with Egg (Regular Biscuit),5.7 oz (163 g),500,290,33,50,14,71,0,250,83,1170,49,36,12,2,6,2,18,6,0,10,20
Breakfast,Sausage Biscuit with Egg (Large Biscuit),6.2 oz (177 g),600,330,37,57,15,74,0,250,83,1280,53,42,14,3,11,3,18,10,0,10,20
Breakfast,Sausage Biscuit with Egg Whites (Regular Biscuit),5.9 oz (167 g),500,250,27,42,12,62,0,35,11,1180,49,34,11,2,6,3,18,0,0,8,15
Breakfast,Sausage Biscuit with Egg Whites (Large Biscuit),6.4 oz (181 g),500,280,32,49,13,65,0,35,11,1290,54,40,13,3,11,3,18,4,0,8,15
Breakfast,Southern Style Chicken Biscuit (Regular Biscuit),5 oz (143 g),400,180,20,31,8,41,0,30,10,1180,49,41,14,2,6,3,17,0,2,6,15
Breakfast,Southern Style Chicken Biscuit (Large Biscuit),5.5 oz (157 g),500,220,24,37,9,45,0,30,10,1290,54,46,15,3,11,4,17,4,2,8,15
Breakfast,Steak & Egg Biscuit (Regular Biscuit),7.1 oz (201 g),500,290,32,49,16,78,1,280,93,1470,61,38,13,2,8,3,25,10,2,20,25
Breakfast,"Bacon, Egg & Cheese McGriddles",6.1 oz (174 g),500,190,21,32,9,44,0,250,84,1250,52,48,16,2,9,15,19,10,10,20,15
Breakfast,"Bacon, Egg & Cheese McGriddles with Egg Whites",6.3 oz (178 g),400,140,15,24,7,34,0,35,11,1250,52,47,16,2,9,16,20,2,10,15,10
Breakfast,Sausage McGriddles,5 oz (141 g),400,200,22,34,8,40,0,35,11,1030,43,44,15,2,8,15,11,0,0,8,10
Breakfast,"Sausage, Egg & Cheese McGriddles",7.1 oz (201 g),600,280,31,48,12,61,0,265,89,1320,55,48,16,2,9,15,20,10,0,20,15
Breakfast,"Sausage, Egg & Cheese McGriddles with Egg Whites",7.2 oz (205 g),500,230,26,40,10,52,0,50,17,1320,55,46,15,2,9,15,21,2,0,20,10
Breakfast,"Bacon, Egg & Cheese Bagel",6.9 oz (197 g),600,280,31,48,11,56,0.5,275,92,1480,62,57,19,3,11,7,30,20,15,20,20
Breakfast,"Bacon, Egg & Cheese Bagel with Egg Whites",7.1 oz (201 g),600,230,25,39,9,45,0.5,60,20,1480,62,55,18,3,12,8,30,10,15,20,15
Breakfast,"Steak, Egg & Cheese Bagel",8.5 oz (241 g),700,310,35,53,13,63,1.5,295,99,1510,63,56,19,3,12,7,33,20,4,25,25
Breakfast,Big Breakfast (Regular Biscuit),9.5 oz (269 g),700,430,48,73,17,87,0,555,185,1560,65,51,17,3,12,3,28,15,2,15,25
Breakfast,Big Breakfast (Large Biscuit),10 oz (283 g),800,470,52,80,18,90,0,555,185,1680,70,56,19,4,17,3,28,15,2,15,30
Breakfast,Big Breakfast with Egg Whites (Regular Biscuit),9.6 oz (272 g),600,330,37,57,14,69,0,35,12,1590,66,50,17,3,12,3,26,0,2,10,15
Breakfast,Big Breakfast with Egg Whites (Large Biscuit),10.1 oz (286 g),700,370,41,63,14,72,0,35,12,1700,71,55,18,4,17,4,26,4,2,10,15
Breakfast,Big Breakfast with Hotcakes and Egg Whites (Regular Biscuit),14.9 oz (423 g),1000,410,46,70,16,78,0,55,19,2170,91,110,37,6,23,17,35,0,2,25,30
Breakfast,Hotcakes,5.3 oz (151 g),400,80,9,13,2,9,0,20,7,590,24,60,20,3,10,14,8,0,0,15,15
Breakfast,Hotcakes and Sausage,6.8 oz (192 g),500,210,24,37,7,36,0,50,17,930,39,61,20,3,10,14,15,0,0,15,15
Breakfast,Sausage Burrito,3.9 oz (111 g),300,150,16,25,7,33,0,115,38,790,33,26,9,1,5,2,12,10,2,15,15
Breakfast,Hash Brown,2 oz (56 g),200,80,9,14,1.5,6,0,0,0,310,13,15,5,2,6,0,1,0,2,0,2
Breakfast,Cinnamon Melts,4 oz (114 g),500,170,19,30,9,43,0,15,5,370,15,66,22,3,11,32,6,4,0,6,15
Breakfast,Fruit & Maple Oatmeal,9.6 oz (251 g),300,35,4,6,1.5,8,0,5,2,160,7,58,19,5,19,32,5,2,130,10,10
Breakfast,Fruit & Maple Oatmeal without Brown Sugar,9.6 oz (251 g),300,40,4,6,1.5,8,0,5,2,115,5,49,16,5,22,18,5,2,130,6,10
Beef & Pork,Big Mac,7.4 oz (211 g),500,240,27,42,10,48,1,85,28,960,40,47,16,3,13,9,24,6,2,25,25
Beef & Pork,Quarter Pounder with Cheese,7.1 oz (202 g),500,240,26,41,12,61,1.5,95,31,1100,46,41,14,3,11,10,30,10,2,30,25
Beef & Pork,Quarter Pounder with Bacon & Cheese,8 oz (227 g),600,260,29,45,13,63,1.5,105,34,1440,60,48,16,3,12,12,37,6,15,25,30
Beef & Pork,Quarter Pounder with Bacon Habanero Ranch,8.3 oz (235 g),600,280,31,48,13,64,1.5,105,35,1180,49,46,15,3,14,10,37,8,20,25,30
Beef & Pork,Quarter Pounder Deluxe,8.6 oz (244 g),500,250,27,42,11,54,1.5,85,28,960,40,45,15,3,13,9,29,10,8,25,30
Beef & Pork,Double Quarter Pounder with Cheese,10 oz (283 g),700,380,43,66,19,96,2.5,160,53,1280,53,42,14,3,11,10,48,10,2,30,35
Beef & Pork,Hamburger,3.5 oz (98 g),200,70,8,12,3,15,0,30,10,480,20,32,11,1,6,6,12,2,2,10,15
Beef & Pork,Cheeseburger,4 oz (113 g),300,100,11,18,5,27,0.5,45,15,680,28,33,11,2,7,7,15,6,2,20,15
Beef & Pork,Double Cheeseburger,5.7 oz (161 g),400,190,21,32,10,52,1,90,30,1040,43,35,12,2,8,7,24,10,2,30,20
Beef & Pork,Bacon Clubhouse Burger,9.5 oz (270 g),700,360,40,62,15,75,1.5,115,38,1470,61,51,17,4,14,14,39,8,25,30,25
Beef & Pork,McDouble,5.2 oz (147 g),400,150,17,26,8,40,1,75,25,840,35,34,11,2,7,7,22,6,2,20,20
Beef & Pork,Bacon McDouble,5.7 oz (161 g),400,200,22,34,10,49,1,90,30,1110,46,35,12,2,7,7,27,6,10,20,20
Beef & Pork,Daily Double,6.7 oz (190 g),400,200,22,35,9,44,1,80,27,760,32,34,11,2,8,7,22,8,8,20,20
Beef & Pork,Jalapeño Double,5.6 oz (159 g),400,210,23,36,9,44,1,80,27,1030,43,35,12,2,7,6,22,6,8,20,20
Beef & Pork,McRib,7.3 oz (208 g),500,240,26,40,10,48,0,70,23,980,41,44,15,3,10,11,22,2,2,15,20
Chicken & Fish,Premium Crispy Chicken Classic Sandwich,7.5 oz (213 g),500,200,22,33,3.5,18,0,45,16,990,41,55,18,3,13,10,24,4,6,15,20
Chicken & Fish,Premium Grilled Chicken Classic Sandwich,7 oz (200 g),400,80,9,13,2,9,0,65,22,820,34,42,14,3,13,8,28,4,8,15,20
Chicken & Fish,Premium Crispy Chicken Club Sandwich,8.8 oz (249 g),700,300,33,51,9,44,0,85,29,1410,59,58,19,3,14,11,36,8,20,30,20
Chicken & Fish,Premium Grilled Chicken Club Sandwich,8.3 oz (235 g),500,180,20,31,7,36,0,105,35,1250,52,44,15,3,13,9,40,8,20,30,20
Chicken & Fish,Premium Crispy Chicken Ranch BLT Sandwich,8.1 oz (230 g),600,250,28,43,6,31,0,70,24,1400,58,57,19,3,13,11,32,4,20,15,20
Chicken & Fish,Premium Grilled Chicken Ranch BLT Sandwich,7.6 oz (217 g),500,130,15,23,4.5,22,0,90,30,1230,51,43,14,3,13,9,36,4,20,15,20
Chicken & Fish,Bacon Clubhouse Crispy Chicken Sandwich,10 oz (284 g),700,340,38,59,10,51,0.5,90,31,1720,72,65,22,4,15,16,36,8,25,30,15
Chicken & Fish,Bacon Clubhouse Grilled Chicken Sandwich,9.5 oz (270 g),600,230,25,39,8,42,0,110,37,1560,65,51,17,4,15,14,40,8,30,30,15
Chicken & Fish,Southern Style Crispy Chicken Sandwich,5.6 oz (160 g),400,170,19,29,3,15,0,45,14,910,38,43,14,2,7,7,21,4,2,15,15
Chicken & Fish,McChicken,5.1 oz (143 g),400,140,16,25,3,15,0,35,11,800,33,40,13,2,7,5,14,0,2,10,15
Chicken & Fish,Bacon Cheddar McChicken,6 oz (171 g),500,220,24,38,7,35,0,65,21,1260,53,43,14,2,8,6,22,4,10,20,15
Chicken & Fish,Bacon Buffalo Ranch McChicken,5.7 oz (161 g),400,190,21,32,5,25,0,50,17,1260,53,41,14,2,7,6,20,2,10,15,15
Chicken & Fish,Buffalo Ranch McChicken,5.2 oz (148 g),400,150,16,25,3,16,0,35,11,990,41,40,13,2,7,5,14,2,2,15,15
Chicken & Fish,Premium McWrap Chicken & Bacon (Crispy Chicken),11.1 oz (316 g),600,280,32,49,9,45,0.5,80,26,1540,64,56,19,3,13,7,32,60,20,20,20
Chicken & Fish,Premium McWrap Chicken & Bacon (Grilled Chicken),10.7 oz (302 g),500,170,19,28,7,36,0,95,32,1370,57,42,14,3,13,6,36,60,25,20,20
Chicken & Fish,Premium McWrap Chicken & Ranch (Crispy Chicken),10.9 oz (310 g),600,280,31,47,8,40,0.5,65,21,1340,56,56,19,3,14,8,27,60,15,20,20
Chicken & Fish,Premium McWrap Chicken & Ranch (Grilled Chicken),10.5 oz (297 g),500,160,18,27,6,31,0.5,80,27,1170,49,42,14,3,14,6,30,60,15,15,20
Chicken & Fish,Premium McWrap Southwest Chicken (Crispy Chicken),11.1 oz (314 g),700,300,33,51,8,40,0.5,60,21,1480,62,68,23,5,19,12,27,60,15,20,20
Chicken & Fish,Premium McWrap Chicken Sweet Chili (Grilled Chicken),10.3 oz (291 g),400,90,10,15,3,14,0,65,22,1090,45,47,16,3,13,12,27,60,15,8,20
Chicken & Fish,Chicken McNuggets (4 piece),2.3 oz (65 g),200,110,12,18,2,10,0,25,9,360,15,12,4,1,2,0,9,0,2,0,2
Chicken & Fish,Filet-O-Fish,5 oz (142 g),400,170,19,29,4,19,0,40,14,590,24,39,13,2,7,5,15,2,0,15,10
